student, gpa, time, sex
1,2.3,0,1
1,2.1,1,1
1,3,2,1
1,3,3,1
1,3,4,1
2,2.2,0,0
2,2.5,1,0
2,2.6,2,0
2,2.6,3,0
2,3,4,0
3,2.4,0,1
3,2.9,1,1
3,3,2,1
3,2.8,3,1
3,3.3,4,1
4,2.5,0,0
4,2.7,1,0
4,2.4,2,0
4,2.7,3,0
4,2.9,4,0
5,2.8,0,0
5,2.8,1,0
5,2.8,2,0
5,3,3,0
5,2.9,4,0
6,2.5,0,1
6,2.4,1,1
6,2.4,2,1
6,2.3,3,1
6,2.7,4,1
7,2.4,0,0
7,2.4,1,0
7,2.8,2,0
7,2.6,3,0
7,3,4,0
8,2.8,0,1
8,2.8,1,1
8,3.1,2,1
8,3.3,3,1
8,3.3,4,1
9,2.8,0,0
9,2.7,1,0
9,2.7,2,0
9,3.1,3,0
9,3.1,4,0
10,2.8,0,0
10,2.8,1,0
10,3,2,0
10,2.7,3,0
10,3,4,0
11,2.6,0,1
11,2.9,1,1
11,3.2,2,1
11,3.6,3,1
11,3.6,4,1
12,2.6,0,1
12,3,1,1
12,2.3,2,1
12,2.9,3,1
12,3.1,4,1
13,2.8,0,0
13,3.1,1,0
13,3.5,2,0
13,3.6,3,0
13,3.9,4,0
14,2.4,0,1
14,3,1,1
14,2.9,2,1
14,3,3,1
14,3.3,4,1
15,2.2,0,0
15,2.7,1,0
15,2.6,2,0
15,2.6,3,0
15,2.8,4,0
16,2.5,0,1
16,2.7,1,1
16,2.8,2,1
16,2.7,3,1
16,2.8,4,1
17,2.6,0,0
17,2.2,1,0
17,2.6,2,0
17,2.5,3,0
17,2.6,4,0
18,2.4,0,0
18,2.9,1,0
18,2,2,0
18,2.6,3,0
18,2.5,4,0
19,2.5,0,1
19,2.3,1,1
19,3,2,1
19,2.9,3,1
19,2.9,4,1
20,2.8,0,0
20,2.9,1,0
20,3.2,2,0
20,3.2,3,0
20,3.4,4,0
21,2.6,0,1
21,2.4,1,1
21,2.5,2,1
21,2.5,3,1
21,2.5,4,1
22,2.8,0,0
22,2.7,1,0
22,3.1,2,0
22,3.1,3,0
22,3,4,0
23,2.8,0,0
23,3.2,1,0
23,2.8,2,0
23,3,3,0
23,2.9,4,0
24,2.7,0,1
24,2.9,1,1
24,3,2,1
24,2.7,3,1
24,2.9,4,1
25,3.5,0,1
25,3.1,1,1
25,3,2,1
25,3.3,3,1
25,3.4,4,1
26,2.3,0,0
26,2.8,1,0
26,2.1,2,0
26,2.8,3,0
26,2.8,4,0
27,2.2,0,0
27,2.4,1,0
27,2.5,2,0
27,2.2,3,0
27,2.8,4,0
28,2.6,0,1
28,3.1,1,1
28,2.9,2,1
28,3.1,3,1
28,3.1,4,1
29,2.9,0,1
29,2.7,1,1
29,2.9,2,1
29,2.9,3,1
29,3.3,4,1
30,2.9,0,1
30,3,1,1
30,3.2,2,1
30,3.1,3,1
30,3.2,4,1
31,2.6,0,1
31,2.2,1,1
31,2.1,2,1
31,2.4,3,1
31,2.6,4,1
32,2.8,0,1
32,2.9,1,1
32,3,2,1
32,3.3,3,1
32,3.4,4,1
33,2.3,0,1
33,3,1,1
33,2.4,2,1
33,2.8,3,1
33,2.8,4,1
34,2.4,0,0
34,2.8,1,0
34,2.6,2,0
34,2.7,3,0
34,2.6,4,0
35,2.5,0,0
35,2.5,1,0
35,2.6,2,0
35,3.2,3,0
35,3.4,4,0
36,2.5,0,0
36,2.9,1,0
36,3,2,0
36,3.2,3,0
36,3,4,0
37,2.2,0,0
37,2.5,1,0
37,3.3,2,0
37,3.1,3,0
37,3.3,4,0
38,2.9,0,1
38,3.2,1,1
38,3.2,2,1
38,3.4,3,1
38,3.6,4,1
39,2.4,0,0
39,2.3,1,0
39,3,2,0
39,3.1,3,0
39,3.1,4,0
40,2.5,0,1
40,2.9,1,1
40,3.2,2,1
40,3.6,3,1
40,3.3,4,1
41,2.9,0,1
41,3.5,1,1
41,3.2,2,1
41,3.5,3,1
41,3.8,4,1
42,2.5,0,0
42,2.5,1,0
42,3.4,2,0
42,2.6,3,0
42,2.8,4,0
43,2,0,1
43,2.5,1,1
43,3.1,2,1
43,3.3,3,1
43,3.2,4,1
44,3.1,0,1
44,3,1,1
44,3.1,2,1
44,2.9,3,1
44,3.1,4,1
45,2.7,0,1
45,3.1,1,1
45,3,2,1
45,3.3,3,1
45,3.1,4,1
46,2.9,0,0
46,2.2,1,0
46,2.7,2,0
46,2.4,3,0
46,2.6,4,0
47,2.6,0,1
47,2.5,1,1
47,2.8,2,1
47,2.2,3,1
47,2.8,4,1
48,2.9,0,1
48,2.5,1,1
48,2.7,2,1
48,2.9,3,1
48,3,4,1
49,3.1,0,0
49,2.7,1,0
49,3,2,0
49,2.7,3,0
49,3,4,0
50,2.4,0,0
50,2.7,1,0
50,2.4,2,0
50,3.2,3,0
50,3,4,0
51,1.7,0,0
51,2.5,1,0
51,3.3,2,0
51,3.2,3,0
51,3,4,0
52,2.5,0,1
52,2.9,1,1
52,3,2,1
52,3.3,3,1
52,3.3,4,1
53,2.8,0,0
53,3.4,1,0
53,2.7,2,0
53,3,3,0
53,2.8,4,0
54,2.8,0,1
54,2.5,1,1
54,3.3,2,1
54,3.3,3,1
54,3.2,4,1
55,2.4,0,0
55,2.8,1,0
55,3.2,2,0
55,3.2,3,0
55,3.1,4,0
56,2.2,0,0
56,2,1,0
56,2.6,2,0
56,2.6,3,0
56,2.9,4,0
57,2.5,0,0
57,2.9,1,0
57,2.8,2,0
57,2.8,3,0
57,3.4,4,0
58,2.5,0,1
58,2.2,1,1
58,2.4,2,1
58,2.8,3,1
58,2.9,4,1
59,2.8,0,0
59,2.8,1,0
59,2.6,2,0
59,3.1,3,0
