Kurs,Sex,sw_i,sw_r,kw_i,kw_r,koop,ss_dgk,ss_pgk,ss_igk,ss_vgk,ss_kgk,Out_just_1,Out_just_2,Out_just_3,Out_just_4,Out_just_5,Out_just_6,Out_just_7,Out_effi_1,Out_effi_2,Out_effi_3,Out_effi_4,Out_effi_5,Out_effi_6,Out_effi_7
1,1,0.666666666666667,0.375,0.75,0.733333333333333,0.285714285714286,4.6,4.5,4.5,5,4.25,,1,0.714285714285714,0.6,0.833333333333333,0.875,,,,0.064,,0.052,0.15,
2,2,0.619047619047619,0.3125,0.4,0.533333333333333,0.321428571428571,4.8,3,4.25,4.33333333333333,3.25,0.125,,,0.4,,0,,0.108,,,0.079,,0.104,
1,1,0.666666666666667,0.625,0.75,0.8,0.309523809523809,4.6,4.75,4.5,5.66666666666667,4.5,0.625,1,0.714285714285714,,,0.75,,0.067,0.104,0.022,,,0.042,
2,1,0.666666666666667,0.4375,0.65,0.8,0.273809523809524,5.2,4.25,,4.66666666666667,4.75,0.625,0.833333333333333,,0.8,0.833333333333333,0.75,0.75,0.051,0.041,,0.044,0.047,0.083,0.032
3,2,0.476190476190476,0.3125,0.7,0.6,0.285714285714286,5,4.25,4.75,5,4.5,0.375,0.666666666666667,0.571428571428571,,0.333333333333333,0.125,0.25,0.084,0.197,0.076,,0.045,0.075,0.046
1,1,0.571428571428571,0.375,0.7,0.8,0.309523809523809,4.6,5,4.25,4.66666666666667,5,0.75,1,,0.8,0.666666666666667,0.625,0.875,0.055,0.075,,,0.124,0.08,0.055
2,2,0.476190476190476,0.1875,0.5,0.466666666666667,0.321428571428571,4,4,4.5,4.66666666666667,4.5,,,,,0.166666666666667,,,,,,,0.045,,
2,2,0.285714285714286,0.4375,0.45,0.466666666666667,0.285714285714286,3.6,4.5,4,5,4,0.625,,0.285714285714286,0.4,,0.625,,0.066,,0.096,0.132,,0.162,
3,1,0.666666666666667,0.5625,0.75,0.933333333333333,0.309523809523809,5,4.25,3.25,5.33333333333333,4.25,0.375,1,,0.8,0.666666666666667,0.75,0.625,0.046,0.066,,0.138,0.049,0.113,0.035
1,2,0.619047619047619,0.375,0.65,0.533333333333333,0.30952380952381,4.4,4.75,4.75,4.33333333333333,4.75,0.375,,0.571428571428571,,0.833333333333333,0.75,0.625,0.075,,0.045,,0.072,0.111,0.053
2,1,0.80952380952381,0.625,0.6,0.733333333333333,0.285714285714286,4,4.5,,4.66666666666667,4.25,0.375,0.666666666666667,0.714285714285714,1,0.666666666666667,0.75,0.375,0.052,0.05,0.057,0.036,,0.108,0.036
3,1,0.714285714285714,0.5,0.5,0.733333333333333,0.226190476190476,4.2,4.5,4.5,4,4.5,0.125,0.166666666666667,0.142857142857143,0,0.5,0.25,0,0.075,0.09,0.051,0.026,0.106,0.08,0.03
2,2,0.523809523809524,0.5,0.85,0.866666666666667,0.345238095238095,4,3.5,3.75,3.66666666666667,4,0.5,,,,0.666666666666667,0.125,,0.072,,,,0.079,0.126,
1,1,0.619047619047619,0.3125,0.6,0.666666666666667,0.345238095238095,5.2,4.75,5,5,4.75,0.625,0.666666666666667,0.714285714285714,,0.333333333333333,0.625,,0.034,0.03,0.053,,0.062,0.189,
1,1,0.666666666666667,0.3125,0.75,0.866666666666667,0.178571428571429,4.4,5,5.5,3.66666666666667,3.75,0,0,0.142857142857143,0.6,0.333333333333333,0.375,,0.093,0.183,0.127,0.034,0.144,0.062,
3,1,0.761904761904762,0.4375,0.7,0.866666666666667,0.321428571428571,3.4,4.75,5,4,4.5,0.375,,0.714285714285714,,0.833333333333333,1,,0.048,,0.057,,0.033,0.06,
1,1,0.619047619047619,0.6875,0.85,0.733333333333333,0.214285714285714,3.8,4.25,4.5,4.66666666666667,4.25,0.375,0,0.285714285714286,0.2,0.5,0.375,0.25,0.077,0.114,0.059,0.036,0.146,0.147,0.066
